Generating SQLite file /analysis/profile.sqlite from /profiles/deepseek-v4-decode-baseline.nsys-rep
Processing [/analysis/profile.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.4.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
18.8,3452936196,89088,38758.7,29057.0,21601,6208091,143049.5,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
13.7,2529305677,43860,57667.7,59841.0,16032,85313,15962.9,_sparse_attn_decode_ragged_kernel
12.5,2294693570,153000,14998.0,15392.0,8512,32289,4267.9,"void marlin::Marlin<(long)1125899906909960, (long)2814749767172868, (long)1125899906909960, (long)1125899906909960, (int)256, (int)1, (int)8, (int)8, (bool)1, (int)4, (int)8, (bool)0>(const int4 *, const int4 *, int4 *, int4 *, const int4 *, const float *, const int4 *, const float *, const int4 *, const int *, int, int, int, int, int, int *, bool, bool, bool, int)"
10.4,1907572189,131580,14497.4,14016.0,12480,16640,947.2,"void marlin::Marlin<(long)1125899906909960, (long)2814749767172868, (long)1125899906909960, (long)1125899906909960, (int)128, (int)1, (int)4, (int)8, (bool)1, (int)4, (int)8, (bool)0>(const int4 *, const int4 *, int4 *, int4 *, const int4 *, const float *, const int4 *, const float *, const int4 *, const int *, int, int, int, int, int, int *, bool, bool, bool, int)"
9.6,1771140325,43860,40381.7,43072.0,24096,46177,6212.5,"void humming<MmaOpClass, Shape<(unsigned int)0, (unsigned int)1024, (unsigned int)4096>, Shape<(unsigned int)16, (unsigned int)128, (unsigned int)128>, Shape<(unsigned int)16, (unsigned int)64, (unsigned int)32>, Shape<(unsigned int)0, (unsigned int)0, (unsigned int)0>, FloatingPointType<(unsigned int)16, (unsigned int)8, (unsigned int)7>, IntegerType<(bool)0, (unsigned int)2>, FloatingPointType<(unsigned int)16, (unsigned int)8, (unsigned int)7>, FloatingPointType<(unsigned int)16, (unsigned int)8, (unsigned int)7>, LayerConfig, ComputeConfig, TuningConfig>(KernelTensorParamType<T12::kUseTmaA>::Type, KernelTensorParamType<T12::kUseTmaB>::Type, KernelTensorParamType<T12::kUseTmaC>::Type, KernelTensorParamType<T12::kUseTmaAS>::Type, KernelTensorParamType<T12::kUseTmaBS>::Type, KernelTensorParamType<T12::kUseTmaBZP>::Type, KernelTensorParamType<T12::kUseTmaBias>::Type, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, CUtensorMap_st *, int *, unsigned int, unsigned int, bool)"
4.1,750574350,36864,20360.6,19616.0,18688,308450,5927.9,"void humming<MmaOpClass, Shape<(unsigned int)0, (unsigned int)4096, (unsigned int)512>, Shape<(unsigned int)16, (unsigned int)256, (unsigned int)128>, Shape<(unsigned int)16, (unsigned int)64, (unsigned int)64>, Shape<(unsigned int)0, (unsigned int)0, (unsigned int)0>, FloatingPointType<(unsigned int)16, (unsigned int)8, (unsigned int)7>, IntegerType<(bool)0, (unsigned int)2>, FloatingPointType<(unsigned int)16, (unsigned int)8, (unsigned int)7>, FloatingPointType<(unsigned int)16, (unsigned int)8, (unsigned int)7>, LayerConfig, ComputeConfig, TuningConfig>(KernelTensorParamType<T12::kUseTmaA>::Type, KernelTensorParamType<T12::kUseTmaB>::Type, KernelTensorParamType<T12::kUseTmaC>::Type, KernelTensorParamType<T12::kUseTmaAS>::Type, KernelTensorParamType<T12::kUseTmaBS>::Type, KernelTensorParamType<T12::kUseTmaBZP>::Type, KernelTensorParamType<T12::kUseTmaBias>::Type, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, CUtensorMap_st *, int *, unsigned int, unsigned int, bool)"
4.0,738990152,21420,34500.0,34272.0,33568,37280,707.2,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
3.6,656845009,87040,7546.5,7552.0,7264,8160,81.0,mhc_pre_big_fuse_with_norm_tilelang_kernel
2.1,391034033,86700,4510.2,4512.0,4256,4800,69.7,mhc_fused_tilelang_kernel
2.1,377967227,1024,369108.6,369107.5,366307,373700,866.7,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x64_32x4_tn_align8>(T1::Params)
