Generating SQLite file /analysis/profile.sqlite from /profiles/deepseek-v4-decode-flashmla-hier.nsys-rep
Processing [/analysis/profile.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.4.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
14.6,2259416712,88740,25461.1,23008.0,18816,5965813,38379.9,_hier_all_reduce_kernel
14.6,2255687484,153000,14743.1,15072.0,7840,30849,4235.2,"void marlin::Marlin<(long)1125899906909960, (long)2814749767172868, (long)1125899906909960, (long)1125899906909960, (int)256, (int)1, (int)8, (int)8, (bool)1, (int)4, (int)8, (bool)0>(const int4 *, const int4 *, int4 *, int4 *, const int4 *, const float *, const int4 *, const float *, const int4 *, const int *, int, int, int, int, int, int *, bool, bool, bool, int)"
11.9,1841214809,131580,13993.1,13408.0,11711,16513,1251.4,"void marlin::Marlin<(long)1125899906909960, (long)2814749767172868, (long)1125899906909960, (long)1125899906909960, (int)128, (int)1, (int)4, (int)8, (bool)1, (int)4, (int)8, (bool)0>(const int4 *, const int4 *, int4 *, int4 *, const int4 *, const float *, const int4 *, const float *, const int4 *, const int *, int, int, int, int, int, int *, bool, bool, bool, int)"
10.6,1639029697,43860,37369.6,40449.0,22720,43136,6356.7,"void humming<MmaOpClass, Shape<(unsigned int)0, (unsigned int)1024, (unsigned int)4096>, Shape<(unsigned int)16, (unsigned int)128, (unsigned int)128>, Shape<(unsigned int)16, (unsigned int)64, (unsigned int)32>, Shape<(unsigned int)0, (unsigned int)0, (unsigned int)0>, FloatingPointType<(unsigned int)16, (unsigned int)8, (unsigned int)7>, IntegerType<(bool)0, (unsigned int)2>, FloatingPointType<(unsigned int)16, (unsigned int)8, (unsigned int)7>, FloatingPointType<(unsigned int)16, (unsigned int)8, (unsigned int)7>, LayerConfig, ComputeConfig, TuningConfig>(KernelTensorParamType<T12::kUseTmaA>::Type, KernelTensorParamType<T12::kUseTmaB>::Type, KernelTensorParamType<T12::kUseTmaC>::Type, KernelTensorParamType<T12::kUseTmaAS>::Type, KernelTensorParamType<T12::kUseTmaBS>::Type, KernelTensorParamType<T12::kUseTmaBZP>::Type, KernelTensorParamType<T12::kUseTmaBias>::Type, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, CUtensorMap_st *, int *, unsigned int, unsigned int, bool)"
4.7,719313370,21420,33581.4,33345.0,32735,36289,651.6,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
4.6,708216382,36864,19211.6,18528.0,17792,191393,5436.6,"void humming<MmaOpClass, Shape<(unsigned int)0, (unsigned int)4096, (unsigned int)512>, Shape<(unsigned int)16, (unsigned int)256, (unsigned int)128>, Shape<(unsigned int)16, (unsigned int)64, (unsigned int)64>, Shape<(unsigned int)0, (unsigned int)0, (unsigned int)0>, FloatingPointType<(unsigned int)16, (unsigned int)8, (unsigned int)7>, IntegerType<(bool)0, (unsigned int)2>, FloatingPointType<(unsigned int)16, (unsigned int)8, (unsigned int)7>, FloatingPointType<(unsigned int)16, (unsigned int)8, (unsigned int)7>, LayerConfig, ComputeConfig, TuningConfig>(KernelTensorParamType<T12::kUseTmaA>::Type, KernelTensorParamType<T12::kUseTmaB>::Type, KernelTensorParamType<T12::kUseTmaC>::Type, KernelTensorParamType<T12::kUseTmaAS>::Type, KernelTensorParamType<T12::kUseTmaBS>::Type, KernelTensorParamType<T12::kUseTmaBZP>::Type, KernelTensorParamType<T12::kUseTmaBias>::Type, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, CUtensorMap_st *, int *, unsigned int, unsigned int, bool)"
4.2,646683216,348,1858285.1,2270581.5,134146,5053694,1370992.8,_hier_two_shot_kernel
4.0,618650805,87040,7107.7,7104.0,6880,7680,80.6,mhc_pre_big_fuse_with_norm_tilelang_kernel
2.4,378867646,86700,4369.9,4353.0,4160,4736,72.1,mhc_fused_tilelang_kernel
2.4,369930871,1024,361260.6,361348.0,357092,366690,1073.5,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x64_32x4_tn_align8>(T1::Params)
2.3,354234771,43860,8076.5,8032.0,7264,10112,640.5,void <unnamed>::mma_dec::sparse_mla_decode_mma_kernel<(bool)0>(Sparse_mla_decode_params)
1.8,285511170,40960,6970.5,6944.0,3232,8384,426.3,_dsv4_topk_kernel
1.8,276265341,20400,13542.4,13377.0,12992,14528,331.9,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, float, float, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)"
